,0
338,8290.0
339,8253.0
340,8539.0
341,7922.0
342,8695.0
343,8053.0
344,8215.0
345,7746.0
346,8140.0
347,8379.0
348,8221.0
349,8315.0
350,7741.0
351,8355.0
352,8025.0
353,7793.0
354,8043.0
355,7578.0
356,8437.0
357,7955.0
358,8151.0
359,8201.0
360,7832.0
361,7673.0
362,7779.0
363,7940.0
364,7670.0
365,7673.0
366,8201.0
367,8005.0
368,7662.0
369,7744.0
370,8103.0
371,7753.0
372,7996.0
373,8992.0
374,8031.0
375,8303.0
376,8118.0
377,8190.0
378,7503.0
379,8524.0
380,8337.0
381,8205.0
382,8312.0
383,8103.0
384,8160.0
385,8644.0
386,8755.0
387,8234.0
388,8749.0
389,8125.0
390,8997.0
391,8317.0
392,8981.0
393,8288.0
394,8607.0
395,8713.0
396,8722.0
397,7873.0
398,8359.0
399,8058.0
400,8797.0
401,8049.0
402,8099.0
403,8360.0
404,8195.0
405,7711.0
406,8381.0
407,8313.0
408,8162.0
409,8314.0
410,8588.0
411,8153.0
412,8519.0
413,7385.0
414,7810.0
415,8186.0
416,7866.0
417,7532.0
418,8756.0
419,7948.0
420,8316.0
421,8273.0
422,8451.0
423,8367.0
424,8337.0
425,7959.0
426,7878.0
427,8066.0
428,8923.0
429,7825.0
430,8059.0
431,8761.0
432,8275.0
433,8401.0
434,8193.0
435,8827.0
436,8522.0
437,9045.0
438,9076.0
439,8679.0
440,8622.0
441,8639.0
442,8537.0
443,8644.0
444,8519.0
445,8415.0
446,8810.0
447,8778.0
448,8593.0
449,8504.0
450,8865.0
451,8557.0
452,8433.0
453,8406.0
454,8521.0
455,8532.0
456,8333.0
457,8416.0
458,8404.0
459,8416.0
460,7670.0
461,8557.0
462,8638.0
463,8590.0
464,8851.0
465,7907.0
466,7543.0
467,7919.0
468,8385.0
469,7642.0
470,8375.0
471,8524.0
472,8072.0
473,7608.0
474,8662.0
475,8201.0
476,8384.0
477,7896.0
478,8655.0
479,8557.0
480,8616.0
481,8302.0
482,8679.0
483,8242.0
484,8408.0
485,9075.0
486,8863.0
487,8403.0
488,8895.0
489,8475.0
490,8620.0
491,8519.0
492,8844.0
493,8361.0
494,8614.0
495,8759.0
496,8813.0
497,8786.0
498,8960.0
499,8644.0
500,8573.0
501,8814.0
502,8153.0
503,7819.0
504,8340.0
505,8663.0
506,8604.0
507,8942.0
508,8780.0
509,8216.0
510,8419.0
511,8063.0
512,8233.0
513,8711.0
514,8475.0
515,8400.0
516,8693.0
517,7825.0
518,8225.0
519,7894.0
520,7338.0
521,8589.0
522,8032.0
523,7850.0
524,8187.0
525,8489.0
526,8425.0
527,8484.0
528,8475.0
529,8507.0
530,8306.0
531,8438.0
532,8708.0
533,8404.0
534,8665.0
535,8275.0
536,8917.0
537,8270.0
538,8809.0
539,8428.0
540,8393.0
541,8921.0
542,9036.0
543,8622.0
544,9095.0
545,9176.0
546,9007.0
547,8959.0
548,8671.0
549,9035.0
550,8943.0
551,8612.0
552,8529.0
553,8969.0
554,7834.0
555,8514.0
556,8500.0
557,8766.0
558,8619.0
559,8702.0
560,8797.0
561,8771.142
562,8612.0
563,8867.714
564,8517.0
565,8327.0
566,8622.0
567,8887.714
568,8859.571
569,8287.714
570,8359.142
571,8048.571
572,8184.285
573,8222.857
574,8116.857
575,8427.714
576,8729.142
577,8782.285
578,8277.428
579,8713.142
580,8621.0
581,8386.0
582,8865.0
583,8840.0
584,8684.0
585,8699.0
586,8521.0
587,8548.0
588,9190.0
589,8685.0
590,8778.0
591,9004.0
592,8771.0
593,8752.0
594,9172.0
595,9004.0
596,8985.0
597,9056.0
598,9093.0
599,9297.0
600,9270.0
601,8939.0
602,9173.0
603,9135.0
604,8844.0
605,8899.0
606,8625.0
607,8582.0
608,8895.0
609,9090.0
610,8653.0
611,9022.0
612,9324.0
613,8759.0
614,8540.0
615,8667.0
616,9060.0
617,8616.0
618,8854.0
619,9063.0
620,8989.0
621,8411.0
622,8335.0
623,8645.0
624,8793.0
625,8551.0
626,8106.0
627,8454.0
628,8619.0
629,8421.0
630,9020.0
631,8596.0
632,8666.0
633,8284.0
634,8458.0
635,8640.0
636,8737.0
637,8358.0
638,8834.0
639,8894.0
640,8992.0
641,9299.0
642,8516.0
643,8529.0
644,8880.0
645,8833.0
646,9476.0
647,9050.0
648,8763.0
649,9177.0
650,9563.0
651,9303.0
652,9381.0
653,9325.0
654,9668.0
655,9337.0
656,8886.0
657,8974.0
658,9166.0
659,8690.0
660,9190.0
661,9156.0
662,8754.0
663,9413.0
664,9316.0
665,8995.0
666,9232.0
667,8725.0
668,8979.0
669,8776.0
670,8930.0
671,9166.0
672,8726.0
673,8686.0
674,8411.0
675,8426.0
676,8543.0
677,8514.0
678,8627.0
679,8727.0
680,8796.0
681,8970.0
682,8968.0
683,9044.0
684,8818.0
685,8731.0
686,9249.0
687,9338.0
688,8973.0
689,9255.0
690,8926.0
691,9373.0
692,9119.0
693,9154.0
694,9259.0
695,9045.0
696,9219.0
697,9194.0
698,9199.0
699,9398.0
700,9300.0
701,8840.0
702,9310.0
703,9263.0
704,9472.0
705,9521.0
706,9424.0
707,9267.0
708,9453.0
709,9234.0
710,9005.0
711,8922.0
712,8915.0
713,8917.0
714,9177.0
715,8883.0
716,8977.0
717,9217.0
718,9237.0
719,8988.0
720,9204.0
721,9107.0
722,9268.0
723,9068.0
724,9329.0
725,9287.0
726,8710.0
727,8695.0
728,8881.0
729,8848.0
730,8837.0
731,8825.0
732,8898.0
733,8884.0
734,9014.0
735,9131.0
736,9069.0
737,9075.0
738,9095.0
739,9089.0
740,9170.0
741,9306.0
742,9024.0
743,9175.0
744,9269.0
